[2022-09-02 20:50:58 : INFO] - Task with ID 614 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2018/08/photo-1513829596324-4bb2800c5efb-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 613, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 613 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2018/08/photo-1507457379470-08b800bebc67-1-scaled.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 610, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 610 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/04/a0003-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 609, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 609 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/04/a0002-1-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 608, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 608 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/woman-standing-in-hallway-while-holding-book-1462630-scaled-2.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 607, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 607 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/bg-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 606, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 606 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/zoom-bg_03-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 605, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 605 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/1-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 604, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 604 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/2-1-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 603, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 603 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/3-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 602, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 602 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/logo-2-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 601, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 601 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/robert-richards-1-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 600, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 600 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/Distance_Learning__03-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 599, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 599 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/Distance_Learning2_03-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:58 : INFO] - Processing task with ID : 598, and type 'smush' 
[2022-09-02 20:50:58 : INFO] - Task with ID 598 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/Distance_Learning3_06-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:59 : INFO] - Processing task with ID : 597, and type 'smush' 
[2022-09-02 20:50:59 : INFO] - Task with ID 597 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/video-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:59 : INFO] - Processing task with ID : 596, and type 'smush' 
[2022-09-02 20:50:59 : INFO] - Task with ID 596 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/isotope-1.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:59 : INFO] - Processing task with ID : 595, and type 'smush' 
[2022-09-02 20:50:59 : INFO] - Task with ID 595 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2020/05/header-1.webp - cannot be optimized, it has an invalid file type 
